emp_no,first_name,last_name,title,from_date,to_date
10067,Claudi,Stavenow,Engineer,3/4/1987,3/3/1996
10067,Claudi,Stavenow,Senior Engineer,3/3/1996,1/1/9999
10070,Reuven,Garigliano,Technique Leader,10/14/1985,1/1/9999
10072,Hironoby,Sidou,Engineer,5/21/1989,5/21/1995
10072,Hironoby,Sidou,Senior Engineer,5/21/1995,1/1/9999
10073,Shir,McClurg,Engineer,2/2/1998,2/22/1998
10074,Mokhtar,Bernatsky,Technique Leader,8/13/1990,1/1/9999
10076,Erez,Ritzmann,Senior Engineer,7/15/1996,1/1/9999
10088,Jungsoon,Syrzycki,Senior Staff,9/2/1993,1/1/9999
10088,Jungsoon,Syrzycki,Staff,9/2/1988,9/2/1993
10091,Amabile,Gomatam,Engineer,11/18/1992,11/18/2001
10091,Amabile,Gomatam,Senior Engineer,11/18/2001,1/1/9999
10096,Jayson,Mandell,Engineer,1/23/1999,1/1/9999
10097,Remzi,Waschkowski,Senior Staff,9/14/1996,1/1/9999
10097,Remzi,Waschkowski,Staff,9/15/1990,9/14/1996
10100,Hironobu,Haraldson,Senior Staff,9/21/1994,1/1/9999
10100,Hironobu,Haraldson,Staff,9/21/1987,9/21/1994
10101,Perla,Heyers,Staff,10/14/1998,9/23/2000
10103,Akemi,Birch,Engineer,1/12/1998,1/1/9999
10106,Eben,Aingworth,Engineer,10/27/1991,10/26/1997
10106,Eben,Aingworth,Senior Engineer,10/26/1997,1/1/9999
10108,Lunjin,Giveon,Staff,3/20/1999,10/20/2001
10116,Dayanand,Czap,Senior Engineer,2/27/1994,11/1/1998
10126,Kayoko,Valtorta,Senior Staff,9/8/1991,1/1/9999
10126,Kayoko,Valtorta,Staff,9/8/1985,9/8/1991
10127,Subir,Baja,Senior Engineer,5/17/1991,1/1/9999
10129,Armond,Peir,Technique Leader,1/16/1996,1/1/9999
10130,Nishit,Casperson,Senior Engineer,6/21/1988,1/1/9999
10131,Magdalena,Eldridge,Engineer,9/17/1999,12/6/1999
10134,Diederik,Siprelle,Engineer,12/12/1987,12/12/1994
10134,Diederik,Siprelle,Senior Engineer,12/12/1994,1/1/9999
10138,Perry,Shimshoni,Engineer,3/3/1992,3/3/2001
10138,Perry,Shimshoni,Senior Engineer,3/3/2001,1/1/9999
10149,Xiadong,Perry,Staff,1/28/1994,8/27/1996
10150,Zhenbing,Perng,Engineer,11/16/1986,11/16/1995
10150,Zhenbing,Perng,Senior Engineer,11/16/1995,1/1/9999
10152,Jaques,Munro,Engineer,1/27/1986,8/3/1987
10153,Heekeun,Majewski,Assistant Engineer,1/8/2000,1/1/9999
10157,Nigel,Aloisi,Senior Engineer,12/10/1997,1/1/9999
10159,Serif,Buescher,Senior Engineer,6/12/1996,1/1/9999
10160,Debatosh,Khasidashvili,Senior Staff,12/6/2000,1/1/9999
10160,Debatosh,Khasidashvili,Staff,12/6/1993,12/6/2000
10161,Hairong,Mellouli,Engineer,6/9/1991,1/5/1994
10163,Karsten,Szmurlo,Senior Staff,2/2/1992,1/1/9999
10166,Samphel,Siegrist,Engineer,9/2/1996,1/1/9999
10177,Pragnesh,Iisaka,Staff,2/6/1993,3/17/1994
10183,Mechthild,Bonifati,Staff,8/11/1996,1/1/9999
10186,Shigehito,Kropatsch,Staff,12/25/1996,8/16/1997
10189,Khalid,Erva,Engineer,9/13/1992,6/29/1993
10194,Josyula,Hofmeyr,Senior Staff,2/14/2002,1/1/9999
10194,Josyula,Hofmeyr,Staff,2/14/1997,2/14/2002
10196,Marc,Hellwagner,Staff,1/31/1999,1/1/9999
10198,Pranav,Furedi,Engineer,8/31/1985,8/31/1993
10198,Pranav,Furedi,Senior Engineer,8/31/1993,1/1/9999
10203,Steen,Escriba,Senior Staff,4/6/1995,1/1/9999
10203,Steen,Escriba,Staff,4/6/1989,4/6/1995
10205,Mabhin,Leijenhorst,Senior Engineer,8/23/1993,1/1/9999
10207,Girolamo,Anandan,Engineer,10/11/1992,10/11/1997
10207,Girolamo,Anandan,Senior Engineer,10/11/1997,1/1/9999
10215,Xiaobin,Duclos,Senior Staff,11/23/1991,1/1/9999
10217,Yongmin,Roison,Technique Leader,5/12/1986,8/5/1993
10219,Genta,Kolvik,Senior Staff,3/31/1993,1/1/9999
10224,Leon,Trogemann,Engineer,1/9/1988,1/9/1996
10224,Leon,Trogemann,Senior Engineer,1/9/1996,1/1/9999
10228,Karoline,Cesareni,Senior Staff,12/22/1998,1/1/9999
10228,Karoline,Cesareni,Staff,12/22/1992,12/22/1998
10229,Ulises,Takanami,Engineer,2/20/1996,6/30/2000
10230,Clyde,Vernadat,Senior Staff,6/16/2002,1/1/9999
10230,Clyde,Vernadat,Staff,6/16/1996,6/16/2002
10233,Lein,Vendrig,Senior Staff,4/28/2000,1/1/9999
10233,Lein,Vendrig,Staff,4/29/1994,4/28/2000
10237,Yannis,Mandell,Senior Staff,8/11/1997,2/21/2000
10237,Yannis,Mandell,Staff,8/11/1989,8/11/1997
10239,Nikolaos,Llado,Staff,5/4/1996,1/1/9999
10240,Remko,Maccarone,Engineer,10/6/1998,1/1/9999
10248,Frederique,Tempesti,Senior Staff,8/12/1997,1/1/9999
10248,Frederique,Tempesti,Staff,8/13/1991,8/12/1997
10249,Marie,Boreale,Engineer,12/8/1991,12/7/2000
10249,Marie,Boreale,Senior Engineer,12/7/2000,1/1/9999
10258,Basil,Ishibashi,Assistant Engineer,5/17/1985,5/17/1991
10258,Basil,Ishibashi,Engineer,5/17/1991,5/16/1997
10258,Basil,Ishibashi,Senior Engineer,5/16/1997,1/1/9999
10262,Mahendra,Maraist,Staff,1/22/1996,1/1/9999
10272,Yishai,Cannane,Staff,10/23/1997,1/1/9999
10278,Lubomir,Nitsch,Engineer,7/2/1993,2/14/1997
10281,Moty,Kusakari,Engineer,12/3/1994,12/2/2000
10281,Moty,Kusakari,Senior Engineer,12/2/2000,1/1/9999
10282,Hercules,Benzmuller,Assistant Engineer,5/2/1996,5/2/2001
10282,Hercules,Benzmuller,Engineer,5/2/2001,1/1/9999
10283,Kauko,Birjandi,Engineer,5/25/1988,5/26/1995
10283,Kauko,Birjandi,Senior Engineer,5/26/1995,1/1/9999
10284,Masali,Murrill,Engineer,7/6/1999,1/1/9999
10286,Saddek,Gopalakrishnan,Staff,12/24/1994,1/24/1999
10294,Rutger,Miara,Senior Engineer,1/30/1999,5/4/1999
10295,Kristine,Velardi,Senior Staff,6/18/2000,1/1/9999
10295,Kristine,Velardi,Staff,6/19/1995,6/18/2000
10298,Dietrich,DuCasse,Staff,4/27/1999,1/1/9999
10302,Faiza,Baer,Senior Staff,7/22/1994,11/9/1999
10302,Faiza,Baer,Staff,7/22/1986,7/22/1994
10305,Hirochika,Piancastelli,Engineer,10/31/1988,6/2/1992
10306,Heng,Kilgour,Staff,9/6/1993,1/1/9999
10307,Nikolaos,Leaver,Engineer,10/16/1999,1/1/9999
10321,Guenter,Ravishankar,Staff,7/24/1995,8/14/1999
10322,Isamu,Dahlbom,Engineer,1/29/1990,1/29/1997
10322,Isamu,Dahlbom,Senior Engineer,1/29/1997,1/1/9999
10325,Arunachalam,Badr,Senior Staff,9/20/1990,1/1/9999
10326,Masali,Czap,Staff,9/2/1998,1/1/9999
10327,Roded,Facello,Engineer,9/18/1987,5/22/1993
10328,Serenella,Kawashima,Engineer,7/17/1998,1/1/9999
10333,Snehasis,Dymetman,Engineer,1/16/1993,1/16/1998
10333,Snehasis,Dymetman,Senior Engineer,1/16/1998,1/1/9999
10340,Djelloul,Laventhal,Senior Staff,3/30/1993,1/1/9999
10340,Djelloul,Laventhal,Staff,3/30/1988,3/30/1993
10343,Dinah,Syrzycki,Senior Engineer,10/3/1997,1/1/9999
10347,Pradeep,Kaminger,Staff,2/20/1998,1/1/9999
10349,Oksana,Brodie,Senior Staff,9/27/1997,1/1/9999
10349,Oksana,Brodie,Staff,9/28/1991,9/27/1997
10350,Kristen,Kavvadias,Assistant Engineer,5/11/1991,5/10/1997
10350,Kristen,Kavvadias,Engineer,5/10/1997,1/16/1998
10353,Phule,Hammerschmidt,Senior Staff,8/24/1989,1/1/9999
10355,Satyanarayana,Cochrane,Staff,1/26/1996,1/1/9999
10356,Vasilis,Standera,Senior Staff,6/26/1995,1/1/9999
10358,Qunsheng,Tagansky,Technique Leader,2/19/1991,1/1/9999
10363,Toshiki,Muniz,Assistant Engineer,9/11/1985,2/12/1993
10364,Nakhoon,Dengi,Senior Engineer,11/14/1985,1/1/9999
10367,Hyuckchul,Gini,Senior Staff,6/23/2000,1/1/9999
10367,Hyuckchul,Gini,Staff,6/24/1991,6/23/2000
10372,Anneli,Frijda,Technique Leader,7/30/1985,1/1/9999
10374,Willard,Rosin,Staff,12/8/1993,3/29/1996
10377,Marl,Grospietsch,Senior Engineer,8/24/1996,1/1/9999
10382,Shirish,Dredge,Engineer,7/1/1998,10/27/2000
10387,Parto,Wrigley,Senior Staff,1/7/1999,1/1/9999
10387,Parto,Wrigley,Staff,1/7/1994,1/7/1999
10388,Hironoby,Kaiser,Staff,5/28/1999,1/1/9999
10389,Make,Peir,Technique Leader,5/13/1999,1/1/9999
10395,Takahiro,Deverell,Engineer,8/10/1998,8/13/2001
10396,Sibyl,Rahier,Senior Engineer,1/11/1986,1/1/9999
10397,Irena,Reutenauer,Technique Leader,5/21/1993,1/1/9999
10402,Volkmar,Ebeling,Technique Leader,1/2/1987,1/1/9999
10404,Prodip,Rosti,Engineer,8/28/1988,8/28/1996
10404,Prodip,Rosti,Senior Engineer,8/28/1996,1/1/9999
10407,Ulf,Siepmann,Senior Staff,10/30/1999,1/1/9999
10413,Danel,Impagliazzo,Senior Staff,12/26/1997,1/1/9999
10413,Danel,Impagliazzo,Staff,12/27/1991,12/26/1997
10414,Yinlin,Alpin,Senior Engineer,5/30/1990,12/2/1994
10418,Candida,Porotnikoff,Staff,10/4/1996,1/1/9999
10422,Greger,Rubsam,Engineer,1/3/1995,1/1/9999
10426,Arunas,Luce,Technique Leader,7/6/1985,1/1/9999
10429,Martien,Improta,Senior Engineer,9/23/1988,1/1/9999
10432,Hisao,Tiemann,Senior Staff,8/12/1996,1/1/9999
10432,Hisao,Tiemann,Staff,8/13/1990,8/12/1996
10433,Reuven,Dengi,Assistant Engineer,11/26/1992,11/27/1999
10433,Reuven,Dengi,Engineer,11/27/1999,1/1/9999
10442,Volkmar,Unno,Senior Staff,2/12/1999,3/13/2001
10442,Volkmar,Unno,Staff,2/12/1992,2/12/1999
10443,Shichao,Litvinov,Senior Engineer,8/1/1989,7/6/2002
10451,Bodh,Ranta,Assistant Engineer,3/12/1988,3/12/1993
10451,Bodh,Ranta,Engineer,3/12/1993,3/12/1998
10451,Bodh,Ranta,Senior Engineer,3/12/1998,1/1/9999
10453,Tsvetan,Matzel,Senior Staff,4/2/1993,1/1/9999
10453,Tsvetan,Matzel,Staff,4/2/1985,4/2/1993
10463,Ung,Zaiane,Staff,2/17/1994,1/1/9999
10466,Jiakeng,Himler,Staff,8/22/1997,8/15/2000
10477,Guoxiang,Trogemann,Engineer,5/26/1997,5/26/2002
10477,Guoxiang,Trogemann,Senior Engineer,5/26/2002,1/1/9999
10486,Amstein,Kossowski,Engineer,10/8/1987,10/7/1996
10486,Amstein,Kossowski,Senior Engineer,10/7/1996,1/1/9999
10494,Yakkov,Servieres,Engineer,12/18/1991,12/17/2000
10494,Yakkov,Servieres,Senior Engineer,12/17/2000,1/1/9999
10497,Pramod,Rabehasaina,Engineer,1/22/1992,1/22/1999
10497,Pramod,Rabehasaina,Senior Engineer,1/22/1999,1/1/9999
10499,Maik,Luft,Senior Staff,7/31/2001,1/1/9999
10499,Maik,Luft,Staff,7/31/1996,7/31/2001
10503,Dannz,Pell,Engineer,3/13/1997,1/1/9999
10504,Xiong,Varker,Staff,10/19/1999,1/1/9999
10509,Abdelwaheb,Riesenhuber,Senior Staff,10/6/1997,1/1/9999
10509,Abdelwaheb,Riesenhuber,Staff,10/6/1992,10/6/1997
10512,Udi,Gihr,Senior Staff,11/28/1998,1/1/9999
10512,Udi,Gihr,Staff,11/28/1989,11/28/1998
10517,Tiina,Speek,Senior Staff,12/25/1990,1/1/9999
10519,Yonghoan,Alencar,Senior Staff,12/5/2000,10/13/2001
10519,Yonghoan,Alencar,Staff,12/5/1992,12/5/2000
10522,Marke,Cesareni,Senior Staff,12/12/1995,1/1/9999
10522,Marke,Cesareni,Staff,12/12/1986,12/12/1995
10529,Ymte,Yetto,Assistant Engineer,7/4/1997,1/1/9999
10531,Oguz,Gimbel,Staff,3/16/1995,1/1/9999
10538,Przemyslawa,Falby,Senior Engineer,7/23/1987,12/13/1998
10541,Godehard,Eiter,Staff,2/28/1986,10/1/1986
10542,Yannis,Couchot,Senior Engineer,2/7/1992,1/1/9999
10548,Ramalingam,Gunderson,Senior Staff,7/4/1993,1/1/9999
10548,Ramalingam,Gunderson,Staff,7/4/1986,7/4/1993
10552,Kazuhito,Shiratori,Senior Engineer,8/31/1998,1/1/9999
10564,Jianhao,Thisen,Engineer,11/23/1995,11/22/2000
10564,Jianhao,Thisen,Senior Engineer,11/22/2000,1/1/9999
10568,Gao,Poulakidas,Staff,7/8/1995,1/1/9999
10575,Theirry,Yeung,Senior Engineer,10/4/1988,11/22/2000
10586,Kirk,Vuskovic,Engineer,2/4/1992,2/4/2000
10586,Kirk,Vuskovic,Senior Engineer,2/4/2000,1/1/9999
10591,Hidde,Hettesheimer,Staff,6/18/1987,9/20/1988
10593,Falguni,Kenevan,Engineer,9/12/1990,9/12/1999
10593,Falguni,Kenevan,Senior Engineer,9/12/1999,1/1/9999
10596,Sanjit,Coors,Senior Staff,5/23/2001,1/1/9999
10596,Sanjit,Coors,Staff,5/23/1996,5/23/2001
10603,Wayne,Restivo,Staff,7/20/1995,1/1/9999
10608,Adhemar,Talmor,Senior Engineer,5/25/1986,6/2/1991
10610,Irena,Roccetti,Engineer,3/30/1997,1/1/9999
10614,Gila,Ozeri,Engineer,3/3/1990,3/3/1998
10614,Gila,Ozeri,Senior Engineer,3/3/1998,1/1/9999
10615,Keung,Delgrande,Senior Staff,3/10/2002,1/1/9999
10615,Keung,Delgrande,Staff,3/10/1996,3/10/2002
10617,Hidekazu,Angel,Senior Staff,10/30/1991,10/3/2001
10623,Aleksander,Danlos,Engineer,1/15/1992,1/15/1999
10623,Aleksander,Danlos,Senior Engineer,1/15/1999,1/1/9999
10624,Sham,Gyorkos,Technique Leader,5/7/1990,1/1/9999
10628,Krisda,Krogh,Assistant Engineer,3/14/1987,3/14/1994
10628,Krisda,Krogh,Engineer,3/14/1994,3/14/2001
10628,Krisda,Krogh,Senior Engineer,3/14/2001,1/1/9999
10629,Lalit,Francisci,Staff,10/20/1999,12/7/2001
10630,Bezalel,Katzenelson,Engineer,1/13/1997,1/1/9999
10631,Inderjeet,Chaudhuri,Engineer,10/18/1994,1/1/9999
10634,Nahid,Chepyzhov,Assistant Engineer,11/11/1990,11/11/1995
10634,Nahid,Chepyzhov,Engineer,11/11/1995,11/10/2000
10634,Nahid,Chepyzhov,Senior Engineer,11/10/2000,1/1/9999
10636,Saeko,Porotnikoff,Staff,9/25/1996,1/1/9999
10637,Heejo,Frolund,Senior Staff,7/11/1998,1/19/2000
10637,Heejo,Frolund,Staff,7/11/1993,7/11/1998
10639,Pramod,Erol,Engineer,10/25/1992,10/26/1999
10639,Pramod,Erol,Senior Engineer,10/26/1999,1/1/9999
10641,Guozhong,Zucker,Assistant Engineer,3/21/1993,3/21/1999
10641,Guozhong,Zucker,Engineer,3/21/1999,1/1/9999
10642,Hirochika,Narlikar,Engineer,10/5/1998,1/1/9999
10653,Otmar,Feinberg,Senior Engineer,4/30/1987,1/1/9999
10667,Makato,Cusworth,Senior Staff,7/28/1999,1/1/9999
10671,Parviz,Rebaine,Senior Staff,9/13/2001,1/1/9999
10671,Parviz,Rebaine,Staff,9/14/1995,9/13/2001
10672,Bluma,Zeilberger,Senior Engineer,9/29/1991,4/19/1996
10676,Valeri,Danley,Engineer,9/4/1999,1/1/9999
10683,Guiseppe,Stranks,Senior Engineer,6/23/1997,1/1/9999
10693,Berhard,Daescu,Senior Staff,1/8/1991,1/1/9999
10693,Berhard,Daescu,Staff,1/8/1986,1/8/1991
10694,Rildo,Straney,Senior Staff,1/25/1993,7/11/2001
10694,Rildo,Straney,Staff,1/26/1988,1/25/1993
10696,Unal,Fendler,Technique Leader,9/9/1991,1/1/9999
10702,Bader,Szemeredi,Senior Engineer,1/14/1991,1/1/9999
10712,Uma,Koprowski,Engineer,8/18/1994,8/18/2001
10712,Uma,Koprowski,Senior Engineer,8/18/2001,1/1/9999
10718,Adib,Rullman,Engineer,7/21/1988,7/21/1997
10718,Adib,Rullman,Senior Engineer,7/21/1997,1/1/9999
10726,Zita,Minakawa,Engineer,2/25/1992,2/24/2001
10726,Zita,Minakawa,Senior Engineer,2/24/2001,1/1/9999
10731,Fumitaka,Peak,Senior Staff,2/20/1994,10/9/2000
10731,Fumitaka,Peak,Staff,2/20/1987,2/20/1994
10734,Sachar,Erdi,Engineer,12/19/1995,1/1/9999
10741,Sven,Huttel,Senior Staff,1/6/1997,1/1/9999
10741,Sven,Huttel,Staff,1/6/1989,1/6/1997
10742,Shim,Wiegley,Technique Leader,4/3/1997,1/1/9999
10745,Poorav,Ranze,Engineer,1/23/1988,1/22/1997
10745,Poorav,Ranze,Senior Engineer,1/22/1997,1/1/9999
10747,Falguni,Khalid,Senior Engineer,10/8/1990,9/20/1999
10749,King,Brendel,Engineer,9/26/1985,9/26/1990
10749,King,Brendel,Senior Engineer,9/26/1990,1/1/9999
10750,Roddy,Demeyer,Technique Leader,11/6/1998,1/1/9999
10751,Jordanka,Ushiama,Engineer,12/14/1999,12/5/2000
10764,Yunming,Beetstra,Engineer,11/27/1989,11/27/1998
10764,Yunming,Beetstra,Senior Engineer,11/27/1998,1/1/9999
10767,Monique,Doering,Staff,7/15/1997,1/1/9999
10768,Ishfaq,Candan,Engineer,7/4/1985,7/4/1990
10768,Ishfaq,Candan,Senior Engineer,7/4/1990,1/1/9999
10777,Mizuhito,Kemmerer,Engineer,3/17/1990,3/16/1996
10777,Mizuhito,Kemmerer,Senior Engineer,3/16/1996,3/27/2001
10778,Selwyn,Merey,Senior Staff,7/4/1986,1/1/9999
10780,Goncalo,Staudhammer,Engineer,8/1/1994,8/18/1996
10782,Kish,Perna,Staff,7/6/1997,3/30/2002
10791,Tadahiko,Sgarro,Engineer,7/30/1988,7/31/1995
10791,Tadahiko,Sgarro,Senior Engineer,7/31/1995,1/1/9999
10795,Supot,Naudin,Senior Staff,5/3/1999,1/1/9999
10795,Supot,Naudin,Staff,5/3/1993,5/3/1999
10801,Uinam,Zschoche,Engineer,4/7/1998,1/15/2001
10803,Katsuyuki,Velasco,Engineer,4/20/1988,4/20/1997
10803,Katsuyuki,Velasco,Senior Engineer,4/20/1997,4/2/2002
10808,Chenxi,Leijenhorst,Senior Engineer,3/7/1987,1/1/9999
10811,Ashish,Fortenbacher,Engineer,7/8/1997,1/1/9999
10813,Shalesh,Shumilov,Senior Staff,4/27/1990,1/1/9999
10814,Nidapan,Dymetman,Senior Staff,7/17/1998,1/1/9999
10814,Nidapan,Dymetman,Staff,7/17/1993,7/17/1998
10826,Arnd,Anandan,Senior Engineer,1/22/1993,1/1/9999
10827,Willard,Danley,Staff,11/7/1996,1/1/9999
10829,Alper,Narahara,Staff,7/21/1993,11/29/1993
10830,Fen,Fiebach,Senior Staff,8/23/1997,1/1/9999
10830,Fen,Fiebach,Staff,8/24/1991,8/23/1997
10831,Toong,Driscoll,Technique Leader,2/22/1998,1/1/9999
10833,Krisda,Gecseg,Technique Leader,12/23/1998,1/1/9999
10834,Huiqun,Rajcani,Assistant Engineer,11/24/1990,11/24/1999
10834,Huiqun,Rajcani,Engineer,11/24/1999,1/1/9999
10835,Tomoyuki,Kermarrec,Engineer,8/22/1995,1/1/9999
10836,Jianhua,Leivant,Senior Staff,8/10/1987,1/1/9999
10844,Dipayan,Koprowski,Engineer,4/25/1997,1/1/9999
10846,Tokuyasu,Serre,Senior Engineer,1/17/1995,1/1/9999
10847,Theirry,Danley,Senior Staff,7/24/1992,1/1/9999
10847,Theirry,Danley,Staff,7/25/1986,7/24/1992
10848,Fen,Bratsberg,Engineer,4/20/1985,4/20/1992
10848,Fen,Bratsberg,Senior Engineer,4/20/1992,1/1/9999
10849,Makato,Mayerwieser,Assistant Engineer,6/25/1995,6/24/2001
10849,Makato,Mayerwieser,Engineer,6/24/2001,1/1/9999
10854,Jagoda,Nannarelli,Engineer,7/13/1998,1/1/9999
10858,Kenroku,Gonthier,Engineer,1/1/1997,1/1/2002
10858,Kenroku,Gonthier,Senior Engineer,1/1/2002,1/1/9999
10867,Billur,Gyorkos,Engineer,3/23/1997,3/22/2002
10871,Aram,Gilg,Staff,6/16/1999,1/1/9999
10872,Karoline,Speel,Senior Staff,9/5/1996,1/1/9999
10872,Karoline,Speel,Staff,9/6/1990,9/5/1996
10873,Sukumar,Wegerle,Staff,3/23/1994,1/1/9999
10876,Vincent,Papastamatiou,Staff,1/29/1995,9/14/1999
10878,Lakshmi,Deville,Staff,4/25/1997,1/1/9999
10879,Muzhong,Chleq,Senior Engineer,8/15/1985,1/1/9999
10882,Fun,Heuser,Engineer,4/29/1999,1/1/9999
10883,Shimshon,Champarnaud,Engineer,12/28/1996,1/1/9999
10885,Rayond,Cronau,Senior Staff,8/19/1991,1/1/9999
10887,Lunjin,DeMori,Senior Engineer,3/17/1989,1/1/9999
10895,Vishwani,Petersohn,Staff,4/26/1986,4/13/1987
10900,Ferdinand,Prenel,Senior Engineer,9/7/1995,1/1/9999
10906,Munehiro,Carrere,Staff,10/18/1998,1/1/9999
10909,Georgi,Atchley,Engineer,12/26/1993,12/26/2000
10909,Georgi,Atchley,Senior Engineer,12/26/2000,1/1/9999
10912,Oscal,Fasbender,Senior Staff,4/23/1991,9/26/1999
10912,Oscal,Fasbender,Staff,4/23/1986,4/23/1991
10913,Narain,Thummel,Staff,10/25/1998,1/1/9999
10918,Susumu,Reghbati,Staff,1/29/1990,10/10/1990
10920,Ronghao,Narahara,Senior Staff,2/23/1998,1/1/9999
10920,Ronghao,Narahara,Staff,2/24/1992,2/23/1998
10921,Mara,Bahi,Engineer,7/27/1986,7/27/1995
10921,Mara,Bahi,Senior Engineer,7/27/1995,1/1/9999
10922,Kyoichi,Wossner,Staff,2/2/1996,1/16/1999
10924,Hironoby,Atchley,Senior Staff,8/14/1997,1/1/9999
10924,Hironoby,Atchley,Staff,8/14/1988,8/14/1997
10926,Leni,Eppinger,Engineer,4/30/1990,4/30/1995
10926,Leni,Eppinger,Senior Engineer,4/30/1995,1/1/9999
10927,Gal,Scallan,Senior Staff,9/12/1993,1/1/9999
10927,Gal,Scallan,Staff,9/12/1986,9/12/1993
10930,Arch,Minakawa,Engineer,11/22/1991,11/22/1998
10930,Arch,Minakawa,Senior Engineer,11/22/1998,1/1/9999
10932,Avishai,Picci,Engineer,9/9/1994,9/9/1999
10932,Avishai,Picci,Senior Engineer,9/9/1999,1/1/9999
10936,Mountaz,Schicker,Senior Staff,5/8/1996,1/1/9999
10936,Mountaz,Schicker,Staff,5/9/1990,5/8/1996
10940,Aleksander,Fioravanti,Engineer,6/30/1997,12/2/1999
10942,Toshimitsu,Larfeldt,Engineer,1/21/1996,1/1/9999
10943,Berna,Skafidas,Engineer,5/22/1993,5/22/1999
10943,Berna,Skafidas,Senior Engineer,5/22/1999,1/1/9999
10944,Remko,Zyda,Senior Engineer,9/7/1995,1/1/9999
10947,Gor,Usery,Senior Staff,11/15/2001,1/1/9999
10947,Gor,Usery,Staff,11/16/1995,11/15/2001
10948,Shigehito,Brodie,Senior Engineer,9/30/1996,6/23/1997
10949,Shigeichiro,Wroclawski,Senior Staff,6/28/1996,1/1/9999
10949,Shigeichiro,Wroclawski,Staff,6/29/1990,6/28/1996
10956,Arno,Picel,Engineer,12/2/1995,1/1/9999
10965,Eckart,Braunschweig,Senior Staff,7/29/1986,1/1/9999
10969,Premal,Noriega,Senior Engineer,5/12/1994,1/1/9999
10971,Isamu,Vadhan,Technique Leader,7/30/1991,10/24/1998
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,1/1/9999
10985,Chiradeep,Furedi,Engineer,2/11/1999,3/10/1999
10986,Masako,Schiper,Technique Leader,10/11/1985,1/1/9999
10987,Flemming,Baezner,Engineer,5/21/1997,1/1/9999
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,1/1/9999
10989,Sumali,Candan,Senior Staff,7/20/1991,1/1/9999
10989,Sumali,Candan,Staff,7/20/1985,7/20/1991
10990,Shin,Foote,Technique Leader,8/6/1990,1/1/9999
10996,Matk,Rahimi,Senior Staff,2/7/1996,1/1/9999
10996,Matk,Rahimi,Staff,2/7/1990,2/7/1996
11002,Bluma,Ulupinar,Senior Staff,11/21/1998,12/7/2001
11004,JoAnna,Decleir,Engineer,1/19/1992,1/18/1998
11004,JoAnna,Decleir,Senior Engineer,1/18/1998,1/1/9999
11009,Alper,Axelband,Senior Staff,9/9/1993,1/1/9999
11009,Alper,Axelband,Staff,9/9/1986,9/9/1993
11012,Taegyun,Speckmann,Staff,7/6/1996,1/1/9999
11019,Leon,Huttel,Engineer,5/24/1992,5/24/1997
11019,Leon,Huttel,Senior Engineer,5/24/1997,1/1/9999
11021,Srinidhi,Henders,Staff,2/2/1998,1/1/9999
